_id,label,left_title,right_title,left_authors,right_authors,left_venue,right_venue,left_year,right_year
23666,0,the ores temporal database management system,the cedar database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",m brownâ ? ¦,sigmod conference,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",1994,
2241,0,scalable parallel data mining for association rules,an efficient algorithm for mining association rules in large databases,"e han , g karypis , v kumar",aseos navathe,sigmod conference,,1997,
26329,0,discover : keyword search in relational databases,keyword search in databases,"v hristidis , y papakonstantinou",sv rajnikant,vldb,,2002,
26645,1,s3 : similarity search in cad database systems,s3 : similarity search in cad database systems,"s berchtold , h kriegel","s berchtold , hp kriegel",sigmod conference,,1997,
6561,1,toward network data independence,toward network data indepence,j hellerstein,jm hellerstein,sigmod record,"acm sigmod record ,",2003,
24766,1,on efficiently implementing schemasql on an sql database system,on efficiently implementing schemasql on an sql database system,"l lakshmanan , f sadri , s subramanian","lvs lakshmanan , f sadri , sn subramanian",vldb,"vldb ,",1999,1999.0
25511,0,ebusiness standards and architectures,foucault and architecture,,p hirst,,"see ref ,",2002,
8114,1,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","1995 . the hb - tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg","g evangelidis , d lomet , b salzberg",vldb,proc . 21st int . conf . on very large data,1995,
24494,1,optimization of constrained frequent set queries with 2-variable constraints,optimization of constrained frequent set queries with2-variable constraints,"l lakshmanan , r ng , j han , a pang","lvs lakshmanan , r ngâ ? ¦",sigmod conference,proc . sigmod,1999,
23610,1,an efficient cost-driven index selection tool for microsoft sql server,"an efficient , cost-driven index tuning wizard for microsoft sql server","s chaudhuri , v narasayya","s chaudhuri , v narasayya",vldb,"23rd international conference on very large data bases , & hellip ; ,",1997,
12372,0,data grid management systems,replicated data management in distributed database systems,"a jagatheesan , a rajasekar",sh son,sigmod conference,"sigmod record ,",2003,1988.0
15948,1,amalgamating knowledge bases,"amalgamating knowledge bases , ii : algorithms",v subrahmanian,"s adal , vs subrahmanian",acm trans . database syst .,"data structures and query processing , submitted for journal & hellip ; ,",1994,
25033,0,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,the bt-tree : a branched and temporal access method,"y tao , d papadias","l jiang , b salzberg",vldb,"vldb ,",2001,2000.0
25835,0,static detection of security flaws in object-oriented databases,application of object-oriented databases to geographic information systems,k tajima,"s roberts , m gahegan , j hogg , b hoyle",sigmod conference,"information and software technology ,",1996,1991.0
16074,0,hippocratic databases,time and databases,"r agrawal , j kiernan , r srikant , y xu","g ariav , j clifford , m jarke",vldb,"sigmod conference ,",2002,
23899,0,guest editorial : databases and the web,guest editorial,,s chaudhuri,,"data mining and knowledge discovery ,",2000,2000.0
18957,0,a toolkit for negotiation support interfaces to multi-dimensional data,a foundation for multi-dimensional databases,"m gebhardt , m jarke , s jacobs","g marc , l laks",sigmod conference,,1997,
24376,1,the power of languages for the manipulation of complex values,on the power of languages for the manipulation of complex objects . inria research report n 846,"s abiteboul , c beeri","s abiteboul , c beeri",vldb j.,vldb,1995,
17131,0,coloring away communication in parallel query optimization,including group-by in query optimization,"w hasan , r motwani",s chaudhuri,vldb,"vldb ,",1995,1994.0
20503,0,query unnesting in object-oriented databases,querying object-oriented databases,l fegaras,m kifer,sigmod conference,,1998,
18187,1,information gathering in the world-wide web : the w3ql query language and the w3qs system,"information gathering in the world wide web : the w3ql language , the w3qs system","d konopnicki , o shmueli",dko shmueli,acm trans . database syst .,acm transactions on database,1998,
27940,1,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems,report on ngits ' 99 : the 4th international workshop on next generation information technologies and,,acms anthology,,"sigmod record ,",1999,1999.0
21890,0,open object database management systems,object database design,,"c rolland , j brunet",,"conference proceedings on data management 91 table of & hellip ; ,",1994,1992.0
7528,0,an efficient algorithm for mining association rules in large databases,"fast algorithms for mining association rules in large databases , ibm research report rj9839 [ r ]","a savasere , e omiecinski , s navathe","r agrawal , r skirant",vldb,"san jose , california : ibm almaden research center ,",1995,
835,0,database management systems and the internet,query processmg ma relauonal database management system,s malaika,"k youssefi , e wong",vldb,"proceedmgs of 1979 vldb conference ,",1996,
12227,0,leveraging the information asset,education for the information age,j perna,ps breivik,sigmod conference,"new directions for higher education ,",1995,1992.0
4170,1,complex relationships and knowledge discovery support in the infoquilt system,complex relationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker , s patel","a sheth , s thacker , s patel",vldb j.,"the vldb journal the international journal on very large & hellip ; ,",2003,2003.0
1749,0,closest pair queries in spatial databases,location-based spatial queries,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos","j zhang , m zhu , d papadias , y tao , dl lee",sigmod conference,,2000,
10561,0,transactional client-server cache consistency : alternatives and performance,concurrency control performance modeling : alternatives andimplications,"m franklin , m carey , m livny","r agrawal , mj carey , m livny",acm trans . database syst .,"acm trans . database systems ,",1997,
18384,0,asserting beliefs in mls relational models,learning probabilistic relational models,"n jukic , s vrbsky","n friedman , l getoor , d koller , a pfeffer",sigmod record,,1997,
23518,0,integrating modelling systems for environmental management information systems,ecobaseâ ?? database and web technologies for environmental information systems,"d abel , k taylor , d kuo","ak tanaka , p valduriez",sigmod record,,1997,1999.0
20037,0,guest editor 's introduction,guest editors note,,"r alt , hd zimmermann",,"electronic markets ,",2002,
20949,1,dynamic itemset counting and implication rules for market basket data,dynamic itemset counting and implication rules,"s brin , r motwani , j ullman , s tsur","s brin , r motwani , j ullman , s tsur",sigmod conference,"proceedings acm sigmod , international conference on",1997,
4262,0,sequence query processing,approximate query processing using wavelets,"p seshadri , m livny , r ramakrishnan","kc cgrs , mn garofalakis , r rastogi , k shim",sigmod conference,proceedings of the international conference on very large,1994,
26672,0,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa",source international conference on management of data archive,,"p buneman , s jajodia",,"proceedings of the 1993 acm sigmod international conference & hellip ; ,",2000,1993.0
1787,0,efficient algorithms for mining outliers from large data sets,efficient algorithms for selecting advanced reservations,"s ramaswamy , r rastogi , k shim","m bartlett , am frisch , y hamadi , i miguel , c",sigmod conference,,2000,
19782,0,parallel mining algorithms for generalized association rules with classification hierarchy,scalable parallel data mining for association rules,"t shintani , m kitsuregawa",eh hanâ ? ¦,sigmod conference,"sigmod conference ,",1998,1997.0
27207,0,integrating modelling systems for environmental management information systems,systems integration and the environment,"d abel , k taylor , d kuo",sj haigh,sigmod record,"bt technology journal ,",1997,1997.0
3839,0,temporal aggregation in active database rules,aggregation in constraint databases,"i motakis , c zaniolo",gm kuper,sigmod conference,,1997,
20922,1,report on the edbt '02 panel on scientific data integration,report on the edbt '02 panel on scientific data integration,,"o boucelma , s castano , c goble , v josifovski , z",,"sigmod record ,",2002,2002.0
11818,0,"object-relational database systems : principles , products , and challenges ( tutorial )",java and relational databases : sqlj ( tutorial ),,"p shaw , b becker , j klein , m hapner , g clossman , r",,,1997,1998.0
19587,1,an empirical performance study of the ingres search accelerator for a large property management database system,an empirical performance study of the ingres search accelerator for a large property management,"s anand , d bell , j hughes","ss anand , da bell",vldb,"proceedings of the international conference on very large & hellip ; ,",1994,1994.0
25116,1,a new sql-like operator for mining association rules,"a new sql-like operator for mining association rules . int . m. vijayaraman , ap buchmann , c. mohan ,","r meo , g psaila , s ceri","r meo , g psaila , s ceri",vldb,proceedings 22nd international conference on very large data,1996,
7884,1,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,i/o reference behavior of production database workloads and the tpc benchmarks-an analysis at the,"w hsu , a smith , h young","ww hsu , aj smith , hc young",acm trans . database syst .,"acm transactions on database systems ,",2001,2001.0
8055,0,editor 's notes,editor 's notes,,tw banta,,"implementing outcomes assessment : promise and perils . new & hellip ; ,",2001,
26491,0,fast incremental maintenance of approximate histograms,dynamic maintenance of wavelet-based histograms,"p gibbons , y matias , v poosala","y matias , js vitter , m wang",vldb,"vldb ,",1997,2000.0
14119,1,caching strategies for data-intensive web sites,caching strategies for data-intensive web sites,"k yagoub , d florescu , v issarny , p valduriez",d florescu,vldb,,2000,
1483,0,optimization techniques for queries with expensive methods,query execution strategies for caching expensive methods,j hellerstein,"j hellerstein , j naughton",acm trans . database syst .,"proc . of the acm sigmod conf . on management of data ,",1998,
16233,1,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets",fastmap : a fast algorithm for indexing,"c faloutsos , k lin","c faloutsos , ki lin",sigmod conference,"data-mining and visualization of traditional and multimedia & hellip ; ,",1995,
9597,0,on the computation of multidimensional aggregates,efficient computation of temporal aggregates with range predicates,"s agarwal , r agrawal , p deshpande , a gupta , j naughton , r ramakrishnan , s sarawagi","d zhang , a markowetz , v tsotras , d gunopulos , b",vldb,,1996,
6281,1,illustra 's web datablade module,lllustra 's web datablade module,j gaffney,j gaffney,sigmod record,"sigmod record ,",1996,1996.0
27168,1,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,mdm : a multiple-data-model tool for the management of heterogenous database schemes,"p atzeni , r torlone","p atzeni , r torlone",sigmod conference,"proceedings of the acm sigmod international conference , & hellip ; ,",1997,
16814,1,xperanto : middleware for publishing object-relational data as xml documents,xperanto : a middleware for publishing object-relational data as xml documents,"m carey , j kiernan , j shanmugasundaram , e shekita , s subramanian","jsess subramanian , m carey , j kiernan",vldb,"proceedings of the 26th vldb conference , cairo , egypt ,",2000,
19663,1,client-server paradise,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu","dj dewitt , n kabra , j luo , jm patel , jb yu",vldb,"vldb ,",1994,1994.0
28246,0,on supporting containment queries in relational database management systems,extensible database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman","mj carey , lm haas",sigmod conference,"sigmod record ,",2001,1990.0
22769,0,towards knowledge-based digital libraries,towards a general theory of the digital library,"l feng , m jeusfeld , j hoppenbrouwers",m collier,sigmod record,,2001,
8391,1,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,"a fu , p chan , y cheung , y moon","aw fu , pm chan , yl cheung , ys moon",vldb j.,"the vldb journal the international journal on very large & hellip ; ,",2000,2000.0
24944,0,a framework for information visualisation,pfires : a policy framework for information security,"j kennedy , k mitchell , p barclay","j rees , s bandyopadhyay , eh spafford",sigmod record,"communications-acm ,",1996,2003.0
28129,0,the piazza peer data management project,xml data management,"i tatarinov , z ives , j madhavan , a halevy , d suciu , n dalvi , x dong , y kadiyska , g miklau , p mork","p fankhauser , a halevy",sigmod record,"the vldb journal ,",2003,
7284,0,privacy-preserving data mining,privacy preserving aggregates,"r agrawal , r srikant","r agrawal , r srikant , d thomas",sigmod conference,"technical report , stanford university ,",2000,
20760,1,efficiently publishing relational data as xml documents,efficiently publishing relational data as xml documents,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald","j shanmugasundaram , e shekita , r barr , m carey , b",vldb j.,"the vldb journal the international journal on very large & hellip ; ,",2001,2001.0
25084,1,capability based mediation in tsimmis,capability based mediation in tsimmis,"c li , r yerneni , v vassalos , h garcia-molina , y papakonstantinou , j ullman , m valiveti","c li , r yerneni , v vassalos , h garcia-molina , y",sigmod conference,"proc . of the acm sigmod int . conf . on management of data ,",1998,1998.0
11844,0,data placement in shared-nothing parallel database systems,analysis of dynamic load balancing strategies for parallel shared nothing database systems,"m mehta , d dewitt","e rahm , r marek",vldb j.,"vldb ,",1997,1993.0
24205,0,anatomy of a native xml base management system,a territorial database management system,"t fiebig , s helmer , c kanne , g moerkotte , j neumann , r schiele , t westmann","f antonacci , p dell ` orco , a turtur",vldb j.,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",2002,1982.0
18698,0,quorum consensus in nested transaction systems,data replication in nested transaction systems,"k goldman , n lynch",kj goldman,acm trans . database syst .,"massachusetts institute of technology , cambridge , ma ,",1994,1987.0
706,0,parallel mining algorithms for generalized association rules with classification hierarchy,new algorithms for efficient mining of association rules,"t shintani , m kitsuregawa","l shen , h shen , l cheng",sigmod conference,,1998,
18938,0,adaptive filters for continuous queries over distributed data streams,thinning operator for continuous query language over data streams,"c olston , j jiang , j widom","l ma , w nutt",sigmod conference,,2003,
23856,0,an effective deductive object-oriented database through language integration,an active and deductive object-oriented data model,"m barja , n paton , a fernandes , m williams , a dinn",g guerrini,vldb,,1994,
19582,0,selectivity estimation in extensible databases - a neural network approach,selectivity estimationinspatial databases,"m lakshmi , s zhou","s acharya , v poosala , s ramaswamy",vldb,"proc . acm sigmod ,",1998,
19683,1,fast algorithms for mining association rules in large databases,fastalgorithmsformining association rules,"r agrawal , r srikant",rar srikant,vldb,"proc . of the vldb conference , santiago , chile , september ,",1994,
23700,0,optimization techniques for queries with expensive methods,query execution techniques for caching expensive methods,j hellerstein,"jm hellerstein , jf naughton",acm trans . database syst .,"sigmod conference ,",1998,1996.0
1412,0,algorithms for mining association rules for binary segmentations of huge categorical databases,anecientalgorithmforminingassociationrules in large databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda","a savasere , e omiecinski , sb navathe",vldb,"proceedings of the 21st international conference on very & hellip ; ,",1998,
11485,0,index configuration in object-oriented databases,query unnesting in object-oriented databases,e bertino,l fegaras,vldb j.,,1994,
5356,1,on schema matching with opaque column names and data values,on schema matching with opaque column names and data values,"j kang , j naughton","j kang , jf naughton",sigmod conference,"sigmod conference ,",2003,2003.0
21459,0,editor 's notes,editor 's notes,m franklin,sm richardson,sigmod record,"new directions for teaching and learning ,",1999,1999.0
26280,0,a survey and critique of advanced transaction models,a practical and modular implementation of extended transaction models,c mohan,"rs barga , c pu",sigmod conference,"vldb ,",1994,1995.0
28147,0,discovery of multiple-level association rules from large databases,mining association rules between sets ofitems in large databases,"j han , y fu","r agrawal , t imielinski , a swami",vldb,"conference on management of data . washington ,",1995,
21249,1,topological relations in the world of minimum bounding rectangles : a study with r-trees,topological relations in theworld of minimumboundingrectangles : astudywith r-trees,"d papadias , y theodoridis , t sellis , m egenhofer","d papadias , y theodoridis , t sellis , m egenhofer",sigmod conference,proceedings of acm sigmod international conference on,1995,
9697,0,efficient maintenance of materialized mediated views,on the content of materialized aggregate views,"j lu , g moerkotte , j schќ , v subrahmanian","s grumbach , l tininini",sigmod conference,,1995,
4583,1,towards an odmg-compliant visual object query language,towards an odmg-compliant visual object query language,"m chavda , p wood",c manoj,vldb,"proc . of the 23rd vldb conference athens , greece ,",1997,
8102,0,processing set expressions over continuous update streams,on computing correlated aggregates over continuous data streams,"s ganguly , m garofalakis , r rastogi","j gehrke , f korn , d srivastava",sigmod conference,,2003,
1174,1,a toolkit for negotiation support interfaces to multi-dimensional data,a toolkit for negotiation support on multidimensional data,"m gebhardt , m jarke , s jacobs","m gebhardt , m jarke , s jacobs",sigmod conference,"proceedings of acm sigmod international conference on & hellip ; ,",1997,
19452,0,a logical foundation for deductive object-oriented databases,introduction to object-oriented databases,"m liu , g dobbie , t ling","ma garvey , ms jackson",acm trans . database syst .,"information and software technology ,",2002,1989.0
14264,1,alphasort : a risc machine sort,alphasort : a risc machine sort,"c nyberg , t barclay , z cvetanovic , j gray , d lomet","c nyberg , t barclay , z cvetanovic , j gray , d lomet",sigmod conference,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994,1994.0
314,0,principles of optimally placing data in tertiary storage libraries,principles of optimally placing data in tertiary storage libraries,"s christodoulakis , p triantafillou , f zioga","hc paradise , c chania",vldb,,1997,
10124,0,mining generalized association rules,mining quantitative association rules in large relational tables,"r srikant , r agrawal","r agrawal , r srikant",vldb,,1995,1996.0
10144,1,curio : a novel solution for efficient storage and indexing in data warehouses,curio : a novel solution for efficient storage and indexing in data warehouses,"a datta , k ramamritham , h thomas","a datta , k ramamritham , h thomas",vldb,"proceedings of the international conference on very large & hellip ; ,",1999,1999.0
1703,1,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems,cache-conscious concurrency control of main-memory indexes on shared-memory multiprocessor systems,"s cha , s hwang , k kim , k kwon","sk cha , s hwang , k kim , k kwon",vldb,"proceedings of the international conference on very large & hellip ; ,",2001,2001.0
14948,1,querying heterogeneous information sources using source descriptions,jo querying heterogeneous information sources using source descriptions,"a levy , a rajaraman , j ordille","ay levy , a rajaraman",vldb,proceedings of the 22th international conference on very,1996,
16245,1,balancing push and pull for data broadcast,pull for broadcast data,"s acharya , m franklin , s zdonik","s acharya , m franklin , s zdonik , b push",sigmod conference,"proc . acm sigmod conf. , tucson , az , may ,",1997,
24880,0,approximate computation of multidimensional aggregates of sparse data using wavelets,"raghu ramakrishnan , sunita sarawagi . on the computation of multidimensional aggregates","j vitter , m wang","s agarwal , r agrawal , pm deshpande , a gupta , jf",sigmod conference,proceedings of 22th international conference on very large,1999,
16867,0,distributed deviation detection in sensor networks,distributed sensor networks for detection of mobile radioactive sources,"t palpanas , d papadopoulos , v kalogeraki , d gunopulos","rj nemzek , js dreicer , dc torney , tt warnock",sigmod record,"ieee transactions on nuclear science ,",2003,2004.0
3352,0,caching technologies for web applications,qos for applications,c mohan,g morrison,vldb,"bt technology journal ,",2001,2005.0
4906,0,locating data sources in large distributed systems,principles of distributed database systems,"l galanis , y wang , s jeffery , d dewitt",", p valduriez",vldb,prentice,2003,
14036,1,understanding the semantics of sensor data,understanding the semantics of sensor data,m mani,m mani,sigmod record,"acm sigmod record ,",2003,2003.0
24830,1,xml-based information mediation with mix,xml-based information mediation with mix,"c baru , a gupta , b ludфscher , r marciano , y papakonstantinou , p velikhov , v chu","pv papakonstantinou , v chu",sigmod conference,"sigmod conference ,",1999,
16356,1,enabling dynamic content caching for database-driven web sites,enabling dynamic content caching for database-driven web sites,"k candan , w li , q luo , w hsiung , d agrawal","k selcuk , ws li , q luoand , wp hsiung , d agrawal",sigmod conference,"acm sigmod conference ,",2001,
9458,0,relational data sharing in peer-based data management systems,query processing in main memory database management systems,"b ooi , y shu , k tan","tj lehman , mj carey",sigmod record,"proceedings of the 1986 acm sigmod international conference & hellip ; ,",2003,1986.0
23659,1,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,proxy-based acceleration of dynamically generated content on the world wide web : an approach and,"a datta , k dutta , h thomas , d vandermeer , s suresha , k ramamritham","a datta , k dutta , h thomas , d vandermeer , k",sigmod conference,"acm transactions on database systems ,",2002,2004.0
11332,1,w3qs : a query system for the world-wide web,w3qs : a query system for the www,"d konopnicki , o shmueli","d konopnicki , o shmueli",vldb,"proceedings vldb ,",1995,
24727,0,implementation aspects of an object-oriented dbms,event specification in an object-oriented database system,"a dogac , m altinel , c ozkan , i durusoy","nh gehani , hv jagadish , o shmueli",sigmod record,proc . acm sigmod international conference on management of,1995,
3598,0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,the analysis of the effects of concurrency control on distributed database system performance,"n krivokapic , a kemper , e gudes",dz badal,vldb j.,"vldb ,",1999,
412,0,disjunctive datalog,dlv : a disjunctive datalog system,"t eiter , g gottlob , h mannila",n leoneâ ? ¦,acm trans . database syst .,,1997,
5381,0,unisql/x unified relational and object-oriented database system,"the architecture of an active , object-oriented database system",w kim,"d mccarthy , u dayal",sigmod conference,"proc . 1989 acm-sigmod conference on management of data , & hellip ; ,",1994,
5103,0,a cost model for clustered object-oriented databases,"a model of queries for object-oriented databases , 15th int","g gardarin , j gruser , z tang",w kim,vldb,"conf . on very large data bases ,",1995,
20395,1,ofl : a functional execution model for object query languages,andp . pucheral . ofl : afunctionalexecution model for object query languages,"g gardarin , f machuca , p pucheral","g gardarin , f machuca",sigmod conference,"proc . acm sigmod intâ ?? l conferenceon managementof data , & hellip ; ,",1995,
18999,0,the cougar approach to in-network query processing in sensor networks,query processing in sensor networks,"y yao , j gehrke","y yao , j gehrke",sigmod record,,2002,
19627,0,algorithms for materialized view design in data warehousing environment,evaluation of materialized view indexing in data warehousing environments,"j yang , k karlapalem , q li","l bellatreche , k karlapalem , q li",vldb,,1997,
25522,1,template-based wrappers in the tsimmis system,template-based wrappers in the tsimmis,"j hammer , h garcia-molina , s nestorov , r yerneni , m breunig , v vassalos","j hammer , h garcia-molina , s nestorov , r yerneni ,",sigmod conference,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997,1997.0
15576,1,a data model and data structures for moving objects databases,a data model and data structures for moving objects,"l forlizzi , r gќting , e nardelli , m schneider","l forlizzi , rh guting , e nardelli , m scheider",sigmod conference,"proc . of acm sigmod ,",2000,
8954,0,open object database management systems,"database management systems : relational , object-relational , and object-oriented data models",,ood models,,,1994,
24559,0,data grid management systems,database systems management and oracle8,"a jagatheesan , a rajasekar",cg doherty,sigmod conference,"sigmod conference ,",2003,1998.0
13849,1,domino : databases for moving objects tracking,"bdomino : databases for moving objects tracking ( demo ) , ^ in proceedings of the acm international","o wolfson , a sistla , b xu , j zhou , s chamberlain","o wolfson , ap sistla , b xu , j zhou , s chamberlain",sigmod conference,,1999,1999.0
23376,0,unql : a query language and algebra for semistructured data based on structural recursion,tql : a query language for semistructured data based on the ambient logic,"p buneman , m fernandez , d suciu","l cardelli , g ghelli",vldb j.,"mathematical structures in computer science ,",2000,2004.0
11278,0,fast algorithms for maintaining replica consistency in lazy master replicated databases,fast algorithms for mining association rules in large databases,"e pacitti , p minet , e simon","r argrawal , r srikant",vldb,,1999,1994.0
21442,0,watermarking relational databases,view indexing in relational databases,"r agrawal , j kiernan",n roussopoulos,vldb,"acm transactions on database systems ,",2002,1982.0
10742,0,editor 's ( farewell ) notes,editors ' notes,,"n van note chism , dj bickford",,"new directions for teaching and learning ,",1995,
7470,0,design and implementation of a genetic-based algorithm for data mining,design and implementation of a qos capable switch-router,s choenni,"e basturk , a birman , g delp , r guerin , r haas , s",vldb,"computer networks ,",2000,1999.0
6132,1,active xml : peer-to-peer data and web services integration,active xml : peer-to-peer data and web services,"s abiteboul , o benjelloun , i manolescu , t milo , r weber","s abiteboul , o benjelloun , i manolescu , t milo , r",vldb,"28th conference on very large data bases ( vldb 2002 ) ,",2002,
27068,1,predator : a resource for database research,predator : a resource for database research,p seshadri,p seshadri,sigmod record,"sigmod record ,",1998,1998.0
1262,0,promises and realities of active database systems,an introduction to deductive database languages and systems,"e simon , a dittrich","r kotagiri , j harland",vldb,"vldb journal ,",1995,
17872,0,query unnesting in object-oriented databases,description logics for semantic query optimization in object-oriented database systems,l fegaras,"d beneventano , s bergamaschi , c sartori",sigmod conference,"acm transactions on database systems ,",1998,2003.0
13928,1,energy efficient indexing on air,cient indexing on air,"t imielinski , s viswanathan , b badrinath","t imielinski , s viswanathan , br badrinath , e",sigmod conference,proceedings of the acm,1994,
3360,1,mining frequent patterns without candidate generation,mining frequent patterns without candidate generation ( to appear ),"j han , j pei , y yin","j han , j pei , y yin",sigmod conference,proceedings of the 2000 acm sigmod international conference,2000,
23266,1,heuristic and randomized optimization for the join ordering problem,heuristic and randomized optimization for the join ordering problem,"m steinbrunn , g moerkotte , a kemper","msg moerkotte , a kemper",vldb j.,,1997,
20213,1,panel on next generation database systems wo n't work without semantics !,next generation database systems wonâ ?? t work without semantics ! panel session,j mylopoulos,j myopoulos,sigmod conference,"sigmod record ,",1998,
9624,1,distributed search over the hidden web : hierarchical database sampling and selection,distributed search over the hidden web : hierarchical database sampling and selection,"p ipeirotis , l gravano","pg ipeirotis , l gravano",vldb,"vldb ,",2002,2002.0
27510,1,"panel : future directions of database research - the vldb broadening strategy , part 2","panel : future directions of database research-the vldb broadening strategy , part 2",m brodie,ml brodie,vldb,"proceedings of the international conference on very large & hellip ; ,",2000,2000.0
22458,0,approximate query translation across heterogeneous information sources,boolean query mapping across heterogeneous information sources ( extended version ),"k chang , h garcia-molina","kcc chang , h garcia-molina , a paepcke",vldb,"ieee transactions on knowledge & data engineering ,",2000,1996.0
9614,0,promises and realities of active database systems,a structured specification of an active database system,"e simon , a dittrich","j campin , nw paton , mh williams",vldb,"information and software technology ,",1995,1995.0
27184,0,peer-to-peer : harnessing the power of disruptive technologies,"peer-to-peer harnessing the power of disruptive technologies , march 2001",m nascimento,a oram,sigmod record,isbn,2003,
23843,0,a cost model for clustered object-oriented databases,semanticmodelling of object-oriented databases,"g gardarin , j gruser , z tang",mbe m & de,vldb,"hoe . vldb ,",1995,
3627,0,fast incremental indexing for full-text information retrieval,variations on language modeling for information retrieval,"e brown , j callan , w croft",w kraaij,vldb,"acm sigir forum ,",1994,2005.0
1359,1,optimizing object queries using an effective calculus,optimizing object queries using an effective calculus,"l fegaras , d maier","l fegaras , d maier",acm trans . database syst .,"acm transactions on database systems ,",2000,2000.0
26860,0,"the glue-nail deductive database system : design , implementation , and evaluation",survivable distributed systems : design and implementation,"m derr , s morishita , g phipps",kp kihlstrom,vldb j.,,1994,
